UID,ALUMINUM_UNITS,COND_UNITS,DOC_UNITS,NITRATE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PTL_UNITS,SILICA_UNITS,AMMONIA_N_RESULT,COND_RESULT,DOC_RESULT,NITRATE_N_RESULT,NITRITE_N_RESULT,NTL_RESULT,PH_RESULT,PTL_RESULT,SILICA_RESULT
8148,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0224,205,8.08,0.005,,0.778,7.6,33.7,3.65
8149,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0324,2600,36.1,0.005,,2.61,9.36,29.9,12.6
8150,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.027,5730,26.81,0,0,2.515,9.17,61,9.472
8151,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,620,6.19,0.01,0,1.226,8.46,88,2.599
8153,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0081,270,5.29,0,0,0.76,8.67,79,18.427
8154,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,46,6.4,0.05,,0.5,7,11,3.2
8155,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0078,144.6,1.53,0.003,0,0.168,8.71,12,3.259
8156,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.031,2000,14.45,0.003,0,1.721,8.82,328,11.461
8157,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0077,76.7,7.91,0,0,0.435,5.08,31,0.213
8159,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.027,22590,311.56,0,0,17.4,9.67,566,155.947
8164,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.016,12.5,2.04,0.002,0,0.245,7.18,30,13.696
8165,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.01,22.4,0.57,0.002,0,0.083,7.34,65,24.171
8167,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.03,176.9,4.24,0.003,0,0.621,8.42,40,10.389
8168,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.01,127.5,3.38,0,0,0.376,7.94,27,5.48
8169,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0068,329,1.71,0,0,0.198,8.46,14,2.184
8171,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.025,78.5,7.13,0.002,0,0.756,7.51,45,9.216
8176,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.036,2070,21.39,0,0,2.9,9.15,753,48.739
8178,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.062,75.5,18.3,0.003,0,1.145,7.02,36,0.28
8182,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.016,98,0.48,0.14,0.001,0.228,7.63,72,28.469
8183,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0055,19.54,4.51,0.002,0,0.253,7.03,11,1.161
8184,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0053,30.4,4.57,0.002,0,0.215,7.55,16,5.14
8185,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,20.7,3.1,0.05,,0.2,6.8,4,1.4
8186,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.008,603,6.01,0,0,0.616,8.53,81,16.585
8192,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.015,48,4.1,,,0.34,7.44,9,0.703
