UID,ALUMINUM_UNITS,COND_UNITS,DOC_UNITS,NITRATE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PTL_UNITS,SILICA_UNITS,AMMONIA_N_RESULT,COND_RESULT,DOC_RESULT,NITRATE_N_RESULT,NITRITE_N_RESULT,NTL_RESULT,PH_RESULT,PTL_RESULT,SILICA_RESULT
8426,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.02,354,16,,,1.33,8.86,25,2.84
8427,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.021,530,10,,,1.52,9.05,109,20.1
8428,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.016,415,11,,,1.1,8.91,24,0.849
8429,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.019,81,7.8,,,0.78,8.18,20,0.332
8430,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.032,178,9,,,0.89,8.5,13,0.298
8435,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.028,9379,16.64,0,0,1.353,8.76,46,0.222
8436,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0058,200,2.41,0.003,0,0.224,6.98,36,6.462
8437,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.027,43.4,5.42,0.004,0.001,0.325,6.74,24,1.188
8438,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.102,350,10.07,0.003,0,1.545,7.83,416,0.733
8442,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0092,145.1,7.82,0.002,0,0.746,8.79,25,2.796
8443,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0076,48.7,1.5,0.003,0.001,0.224,6.71,29,3.824
8444,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,284,3.25,0.003,0,0.239,8.3,50,18.797
8446,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0071,590,4.93,0,0,0.415,8.24,21,2.24
8447,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.135,627,5.35,0.003,0,0.849,8.08,66,9.755
8457,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0055,107.6,3.93,0.002,0,0.474,6.73,48,3.686
8458,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.039,5.63,1.12,0.006,0.001,0.296,6.53,29,1.253
8462,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.1,495,6.04,0.05,,2.12,8.45,128,0.869
8463,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.1,399,10.8,0.05,,1.29,7.58,32,6.4
8466,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0027,30,3.07,0.005,,0.149,7.75,10.2,935
8469,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.134,137.4,2.58,0.66,0.005,2.185,6.9,191,24.872
8470,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.059,69.3,2.3,0.003,0.001,0.365,7.15,36,6.189
8472,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0049,233,2.31,0.002,0,0.188,8.5,26,7.239
8473,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,24,4.2,0.05,,0.3,7,6,4.6
8476,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0056,216,0.99,0.003,0,0.083,8.42,20,6.149
8477,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0045,90.5,2.89,0.003,0,0.14,7.81,26,5.19
8478,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0048,22.9,1.14,0.002,0,0.13,7.46,26,11.235
8479,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0048,2.82,1.33,0.002,0,0.083,6.32,4,1.252
8480,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.12,234,12.78,0.01,0.004,1.368,8.37,100,35.576
8481,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.1,56.6,6.68,0.05,,0.79,6.48,19,6.78
8482,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.1,1360,4.37,0.05,,1.19,8.19,86,2.59
8483,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0024,292,6.82,0.005,,0.435,7.76,4.9,0.483
8486,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0027,163.2,1.62,0.002,0,0.069,8.37,16,7.141
8487,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,315,6.52,0.002,0,1.475,8.86,109,3.708
8489,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,36.6,6.6,0.05,,0.4,6.6,16,3.57
8493,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0072,323,5.66,0.002,0,0.593,8.54,17,3.927
8494,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0091,372,3.98,0.003,0,0.388,7.3,14,0.69
8495,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,519,5.16,0.164,0.004,0.724,9.1,22,6.647
8496,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.075,272,2.8,0.014,0.002,0.624,8.61,99,28.523
8497,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.03,293,4.29,0.003,0,0.739,7.66,25,0.248
8499,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,229,4.77,0.005,0.002,0.986,8.49,89,4.77
8500,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0076,253,3.85,0.002,0,0.763,8.27,69,10.674
8502,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0062,44,4.83,0.003,0,0.476,7.51,43,12.797
8503,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.1,650,4.11,0.05,,0.71,8,12,5.13
8504,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.032,69.9,1.89,0.004,0,0.511,8.96,104,22.658
8505,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.058,651,5.07,0.004,0.002,0.331,8.34,17,2.977
8507,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.02,210,2.93,0.45,,0.44,8.1,10,1.95
8508,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.415,40.8,7.57,0.012,0.002,1.005,7.38,85,4.59
8509,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.017,804,12.35,0.002,0,3.25,9,542,24.337
8514,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0068,25,0.62,0.002,0,0.095,7.59,66,20.764
8532,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.014,167.2,6.79,0.002,0,0.92,8.07,113,10.778
8540,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0097,549,2.88,0.005,0.001,0.35,8.48,9,1.806
8542,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0058,45.1,3.36,0.002,0,0.256,7.71,40,14.761
8543,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.006,1098,11.75,0,0,0.944,9.08,9,1.831
8545,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0072,94.2,4.03,0.004,0,0.426,7.51,12,0.543
8546,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0061,299,2.49,0.002,0,0.266,8.33,8,1.277
8547,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0087,283,5.96,0,0,1.763,8.24,332,14.729
8549,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.014,431,4.51,0.002,0,0.536,8.3,31,7.958
8552,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,296,2.85,0.084,0.003,0.536,8.2,67,26.97
8553,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,29.9,4.17,0.003,0.001,0.51,7.32,48,9.672
8554,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.006,224,3,0.002,0,1.126,8.44,110,10.369
8555,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0036,36.4,2.91,0.002,0.001,0.278,7.1,13,1.347
8556,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.009,216,4.94,0.002,0,0.603,8.25,28,2.2
8590,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0078,124.7,2.63,0.003,0.001,0.261,7.26,7,0.623
8591,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.017,137.2,6.04,0.002,0,1.003,7.63,87,2.803
8592,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.017,132.2,3.52,0.28,0.003,0.723,7.94,30,6.772
8594,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.005,446,1.7,0.006,0,0.223,8.47,28,8.902
8595,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0084,1117,3.76,0.002,0,0.318,8.27,33,2.854
8596,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.021,3340,15.09,0.023,0,6.2,8.53,435,9.303
8597,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0052,369,6,0.002,0,0.486,8,33,10.742
8598,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,13.4,9.3,0.05,,0.1,5.9,22,1.84
8599,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0029,37.7,2.5,0,0.001,0.238,7.01,13,1.534
8600,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0029,198.3,4.46,0.002,0,0.841,8.71,51,7.816
8601,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.048,64.7,5.93,0.003,0.001,0.611,8,42,0.304
8602,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.012,124.4,4.78,0.002,0.002,1.319,8.21,664,1.317
8613,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0053,27.7,5.25,0.003,0,0.395,6.68,15,0.357
8614,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.052,349,2.45,2.42,0.015,3,8.3,359,4.002
8620,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.019,163.3,2.15,6.73,0.01,8.063,7.58,28,9.426
8624,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.003,208,4.72,0.002,0,1.019,8.63,55,0.463
8625,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.043,366,19.02,0.002,0,1.744,8.92,25,0.406
8626,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.41,152.9,3.73,0.225,0.008,2.351,7.65,310,6.355
8627,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0016,36.7,0.4,0.002,0,0.014,7.14,15,5.93
8629,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0033,296,3.47,0.002,0,0.355,8.81,36,3.271
8631,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.003,153.7,1.75,0.002,0,0.091,8.14,42,16.873
8633,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0068,24.5,2.34,0.002,0,0.208,7.3,9,1.434
8634,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0034,205,1.06,2.54,0.017,3.125,8.13,187,52.064
8635,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.012,304,6.16,0.002,0,1.36,8.56,138,0.639
8640,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0085,34.1,3.82,0.003,0,0.295,6.6,9,1.58
8641,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0051,5.45,0.68,0,0,0.083,7.02,8,0.86
8642,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.038,157.1,5.39,0.004,0.001,1.778,7.89,164,6.399
8645,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,2760,2.57,0.105,0,0.298,8.06,31,11.358
8646,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.014,298,9.53,0.002,0,0.979,8.87,35,3.802
8647,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0041,14.46,1.31,0.004,0,0.111,5.97,4,0.465
8648,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.02,554,16.53,0.002,0,2.045,9.36,631,9.24
8650,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.022,581,3.1,0.005,0.001,0.389,8.33,13,2.443
8651,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.102,424,6.68,1.53,0.045,2.59,7.68,63,9.009
8652,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.026,44.6,5.14,0.004,0,0.353,6.68,21,1.829
8654,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0079,192.5,3.12,0.002,0,1.139,7.95,135,14.441
8655,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.018,933,5.32,0.026,0.002,0.743,8.1,171,18.944
8657,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.039,215,11.85,0.005,0,0.861,7.97,53,14.814
8659,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.018,355,3.58,0.004,0,0.618,8.57,50,10.129
8660,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,183,6.8,0,0,1.219,8.34,94,4.934
8661,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.065,13170,24.46,0,0,2.395,8.98,70,0.249
8662,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.01,696,7.22,0.002,0,1.236,8.83,98,13.156
8663,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0084,196.1,1.77,0.022,0.002,0.26,8.36,13,2.896
8664,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0098,57,0.9,0.005,0.001,0.131,7.26,21,6.576
8665,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.163,183.8,11.2,0.021,0.006,1.433,7.76,88,0.376
8672,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0083,207,2.3,0.003,0,0.205,6.78,32,6.253
8675,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0086,14.89,5.6,0.002,0.001,0.466,5.72,25,0.654
8676,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.012,445,5.17,0.072,0.002,0.965,7.93,57,4.091
8728,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.14,207,6.49,0.006,0.002,0.955,7.9,50,7.151
8759,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0136,228,6.59,0.0292,,0.459,7.95,36,0.93
8761,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.103,128.8,6.59,0.212,0.003,0.763,6.27,24,4.407
8762,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.02,174.8,14.65,0.004,0,1.044,7.66,59,3.346
8764,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.017,571,13.18,0,0,4.606,8.7,384,0.286
8765,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0061,360,3.38,0.003,0,0.271,8.63,16,3.486
8766,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0032,74.2,3.55,0,0,0.299,8.02,54,6.898
8773,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0056,155.8,5.42,0,0,0.456,8.03,27,5.806
8776,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0039,19.83,3.87,0,0,0.534,7.07,43,1.801
8777,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.087,1585,4.42,0.015,0,0.645,8.54,55,16.564
8778,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.093,456,4.72,0.004,0.003,1.17,8.32,75,5.854
8779,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0024,57,1.77,0.005,,0.0668,7.9,4.1,3.24
8782,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0049,109.8,4.53,0,0,0.534,7.82,53,14.016
8783,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.003,33.6,2.56,0,0,0.154,7.44,19,6.69
8787,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0066,1554,5.13,0.342,0.005,1.648,8.38,237,31.648
8810,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.032,295,7.88,0.003,0.001,0.883,8.17,54,19.089
8811,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,321,6.03,0.003,0,0.898,8.3,88,17.671
8812,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0083,4570,13.58,0,0,1.136,8.96,1208,20.18
8813,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.014,266,4.24,0.005,0.003,0.803,8.38,48,2.631
