TSN,,Genus,,Species,,Variety
1179,,Pseudanabaena,,galeata,,
1180,,Pseudanabaena,,mucicola,,
1181,,Pseudanabaena,,oblonga,,
1182,,Anabaenopsis,,,,
1183,,Anabaenopsis,,raciborskii,,
1184,,Anabaenopsis,,circularis,,
1185,,Anabaenopsis,,elenkenii,,
1186,,Anabaenopsis,,nadsonii,,
1187,,Anabaenopsis,,philippinensis,,
1188,,Anabaenopsis,,arnoldii,,
1189,,Hormothamnion,,,,
118,,Azotobacter,,,,
1190,,Hormothamnion,,enteromorphoides,,
1191,,Aphanizomenon,,,,
1192,,Aphanizomenon,,flosaquae,,
1193,,Aphanizomenon,,holsaticum,,
1194,,Aulosira,,,,
1195,,Aulosira,,laxa,,
1196,,Aulosira,,implexa,,
1197,,Cylindrospermum,,,,
1198,,Cylindrospermum,,stagnale,,
1199,,Cylindrospermum,,stagnale,,stagnale
1200,,Cylindrospermum,,stagnale,,angustum
1201,,Cylindrospermum,,minimum,,
1202,,Cylindrospermum,,alatosporum,,
1203,,Cylindrospermum,,catenatum,,
1204,,Cylindrospermum,,cormatum,,
1205,,Cylindrospermum,,licheniforme,,
1206,,Cylindrospermum,,minutissimum,,
1207,,Cylindrospermum,,minutum,,
1208,,Cylindrospermum,,musciola,,
1209,,Cylindrospermum,,punctatum,,
120,,Azotobacter,,beijerinckii,,
1210,,Cylindrospermum,,trichotosporum,,
1211,,Cylindrospermum,,majus,,
1212,,Cylindrospermum,,marchicum,,
1213,,Microchaetaceae,,,,
1214,,Microchaete,,,,
1216,,Microchaete,,grisea,,
1218,,Microchaete,,pulchella,,
1219,,Microchaete,,tenera,,
121,,Azotobacter,,chroococcum,,
1220,,Microchaete,,diplosiphon,,
1221,,Microchaete,,goeppertiana,,
1222,,Microchaete,,robusta,,
1223,,Microchaete,,spiralis,,
1224,,Microchaete,,calothricoides,,
1225,,Nodularia,,,,
1226,,Nodularia,,harveyana,,
1227,,Nodularia,,spumigena,,
1228,,Nodularia,,sphaerocarpa,,
1229,,Rivulariaceae,,,,
1230,,Dichothrix,,,,
1231,,Dichothrix,,penicillata,,
1232,,Dichothrix,,baueriana,,
1233,,Dichothrix,,compacta,,
1234,,Dichothrix,,gyposophila,,
1235,,Dichothrix,,meneghiniana,,
1236,,Dichothrix,,orsiniana,,
1237,,Dichothrix,,spiralis,,
1238,,Dichothrix,,hosfordii,,
1239,,Dichothrix,,calcerea,,
1240,,Dichothrix,,inyoensis,,
1241,,Dichothrix,,nordstedtii,,
1242,,Dichothrix,,montana,,
1243,,Calothrix,,,,
1246,,Calothrix,,confervicola,,
1247,,Calothrix,,crustacea,,
1250,,Calothrix,,pulvinata,,
1251,,Calothrix,,parietina,,
1255,,Calothrix,,pilosa,,
1256,,Calothrix,,scopulorum,,
1257,,Calothrix,,solitaria,,
1258,,Calothrix,,fusca,,
1259,,Calothrix,,braunii,,
1260,,Calothrix,,elenkinii,,
1261,,Calothrix,,breviarticulata,,
1262,,Calothrix,,atricha,,
1263,,Calothrix,,stagnalis,,
1264,,Calothrix,,epiphytica,,
1265,,Calothrix,,parasitica,,
