SITE_ID,EPA_REG,ECO_LEV_3,NUT_REG,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,HUC_2,HUC_8
NLA06608-1781,Region_9,6,III,III,MAN-MADE,WMTNS MAN-MADE,18,18050005
NLA06608-1782,Region_5,56,VII,VII,MAN-MADE,PLNLOW MAN-MADE,4,4090005
NLA06608-1789,Region_3,69,XI,XI,MAN-MADE,EHIGH MAN-MADE,5,5010007
NLA06608-1791,Region_4,68,XI,XI,MAN-MADE,EHIGH MAN-MADE,6,6010208
NLA06608-1793,Region_10,15,II,II,NATURAL,WMTNS NATURAL,17,17010303
NLA06608-1800,Region_6,35,IX,IX,NATURAL,PLNLOW NATURAL,11,11140304
NLA06608-1802,Region_5,56,VII,VII,MAN-MADE,PLNLOW MAN-MADE,4,4090003
NLA06608-1804,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11050002
NLA06608-1808,Region_6,35,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11110207
NLA06608-1810,Region_8,13,III,III,MAN-MADE,WMTNS MAN-MADE,16,16020102
NLA06608-1811,Region_8,42,V,V,NATURAL,PLNLOW NATURAL,10,10130106
NLA06608-1812,Region_4,71,IX,IX,MAN-MADE,EHIGH MAN-MADE,5,5130205
NLA06608-1818,Region_8,17,II,II,NATURAL,WMTNS NATURAL,14,14040102
NLA06608-1821,Region_3,64,IX,IX,MAN-MADE,EHIGH MAN-MADE,2,2060006
NLA06608-1824,Region_7,26,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,11,11040008
NLA06608-1825,Region_4,75,XII,CPL,NATURAL,PLNLOW NATURAL,3,3100101
NLA06608-1835,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,4,4100003
NLA06608-1836,Region_7,44,IV,IVnat,NATURAL,PLNLOW NATURAL,10,10150003
NLA06608-1839,Region_4,65,IX,IX,MAN-MADE,PLNLOW MAN-MADE,3,3070104
NLA06608-1840,Region_5,72,IX,IX,MAN-MADE,PLNLOW MAN-MADE,7,7140203
NLA06608-1851,Region_8,25,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10190005
NLA06608-1856,Region_8,42,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10050007
NLA06608-1857,Region_8,15,II,II,NATURAL,WMTNS NATURAL,17,17010208
NLA06608-1861,Region_4,75,XII,CPL,NATURAL,PLNLOW NATURAL,3,3080103
NLA06608-1862,Region_9,80,III,III,MAN-MADE,WMTNS MAN-MADE,16,16040205
NLA06608-1863,Region_6,35,IX,IX,MAN-MADE,PLNLOW MAN-MADE,8,8080102
NLA06608-1866,Region_8,18,III,III,MAN-MADE,WMTNS MAN-MADE,10,10070006
