TSN,,Genus,,Species,,Variety
180998,,Opercularia,,,,
181001,,Laboea,,,,
181002,,Laboea,,strobila,,
189560,,Euglena,,gracilis,var.,gracilis
189561,,Euglena,,gracilis,var.,bacillaris
189562,,Euglena,,gracilis,var.,saccharophila
189563,,Khawkinea,,quartana,,
193463,,Bodo,,variabilis,,
193464,,Bodo,,urinarius,,
193465,,Naegleria,,australiensis,,
193466,,Naegleria,,gruberi,,
193467,,Naegleria,,jadini,,
193468,,Naegleria,,lovaniensis,,
193469,,Naegleria,,thorntoni,,
193470,,Acanthamoeba,,astronyxis,,
193471,,Acanthamoeba,,comandoni,,
193472,,Acanthamoeba,,culbertsoni,,
193473,,Acanthamoeba,,griffini,,
193474,,Acanthamoeba,,hatchetti,,
193475,,Acanthamoeba,,lenticulata,,
193476,,Acanthamoeba,,palestinensis,,
193477,,Acanthamoeba,,polyphaga,,
193478,,Acanthamoeba,,rhysodes,,
193479,,Acanthamoeba,,royreba,,
193480,,Acanthamoeba,,terricola,,
193481,,Acanthamoeba,,tubiashi,,
193482,,Entamoeba,,invadens,,
193483,,Entamoeba,,moshkovskii,,
193484,,Entamoeba,,terrapinae,,
193485,,Entamoeba,,barreti,,
193486,,Flabellula,,hoguae,,
193487,,Hartmannella,,limax,,
193491,,Glauconema,,bermudense,,
193492,,Glaucoma,,chattoni,,
193493,,Colpoda,,maupasi,,
193494,,Colpoda,,spiralis,,
193495,,Colpoda,,steinii,,
196429,,Cyclocibicides,,,,
196430,,Cyclocibicides,,vermiculatus,,
196432,,Annulocibicides,,,,
196433,,Annulocibicides,,gymnesicus,,
202424,,Nodosinellidae,,,,
203793,,Anisonema,,ovale,,
203847,,Cyrtolophosis,,bursaria,,
203848,,Cercomonas,,crassicauda,,
203849,,Cercomonas,,longicauda,,
203850,,Bodo,,fusiformis,,
203851,,Bodo,,ovatus,,
203852,,Bodo,,rostratus,,
203853,,Cashia,,limacoides,,
203854,,Euglypha,,ciliata,,
203855,,Euglypha,,patella,,
