"SITEID_12","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol"
"NLA12_AL-101","NLA06608-2187",33.29204144,-87.3913824,1301.87197,13.4,104.2086662,57.03,3,3160112,68,68,"Region_4",374.5,2335,440.5,27.5,3178,8.41,27.5884615384615,5.85928104575163
"NLA12_AL-102","NLA06608-0459",34.22781586,-86.84344912,72.95042027,17.3,11.87230532,247.04,3,3160109,68,68,"Region_4",76,3380,389,12,1783,7.37,19.2692307692308,6.04470588235294
"NLA12_AL-103","NLA06608-2955",33.7624784,-86.05315833,10363.25848,6.5,688.4591342,141.76,3,3150106,67,67,"Region_4",199.9,2830,449,56,3527,8.34,29.5730769230769,5.84653594771242
"NLA12_AL-104","NLA06608-0283",32.51586852,-87.86108477,4731.474336,19.8,698.1088203,22.28,3,3160201,65,65,"Region_4",345,2680,344,37,2698,7.99,29.9589743589744,5.88228758169935
"NLA12_AL-105","",31.62154629,-88.35373896,32.56146308,4.8,2.998953879,50.83,3,3160203,65,65,"Region_4",31.1,6830,1464,82,1955,8.85,28.0647435897436,5.81235294117647
"NLA12_AL-112","",33.36486204,-88.16688028,5.55544262,3.8,1.293121817,78.07,3,3160106,65,65,"Region_4",52.4,3820,379,33,5049,7.73,28.3666666666667,5.93346405228758
"NLA12_AL-113","",30.97184148,-88.0527428,29.40501835,2.5,3.81355553,13.99,3,3160204,65,65,"Region_4",22.5,3410,248,27,7562,6.51,27.25,5.96705882352941
"NLA12_AL-114","",33.88200988,-85.9316179,18.10471487,3.5,3.585987135,171.04,3,3150106,67,67,"Region_4",175.9,3600,510,62,13866,8.8,31.3551282051282,5.90647058823529
"NLA12_AL-R03","NLA06608-1871",33.32192301,-85.81071637,22.42053898,9.3,4.766510605,317.68,3,3150109,45,45,"Region_4",37.6,1490,126,31,12345,7.51,19.8974358974359,5.90647058823529
"NLA12_AR-101","NLA06608-1808",34.53435079,-92.26882632,105.7849996,2,9.08146137,74.14,11,11110207,35,35,"Region_6",45.05,11185,855.5,84,7292.5,7.33,29.86,6.19849673202614
"NLA12_AR-102","NLA06608-0208",35.58318947,-90.96294056,95.89252695,1.3,3.883137271,69.01,8,8020302,73,73,"Region_6",118.1,5330,1536,151,16852,7.95,26.35,6.19875816993464
"NLA12_AR-103","NLA06608-1204",34.41755034,-93.07012469,2428.921192,13.4,180.208525,118.4,8,8040101,36,36,"Region_6",51.4,2920,311,15,4145,7.73,27.9,6.17470588235294
"NLA12_AR-104","NLA06608-1484",35.5624593,-93.63756822,44.682124,9.1,4.738604684,203.73,11,11110202,37,37,"Region_6",34.9,2030,175,30,5005,7.23,29.5,6.20679738562091
"NLA12_AR-105","",33.07556301,-92.66059625,7.29500254,2.45,1.551513244,55.37,8,8040206,35,35,"Region_6",72.65,8820,537.5,36.5,3712,7.09,31.05,6.16705882352941
"NLA12_AR-106","",36.06720319,-91.14242843,222.5927542,5.4,17.23630001,82.69,11,11010009,39,39,"Region_6",244,5020,1385,107,7745,8.81,27.85,6.24320261437908
"NLA12_AR-109","",33.81796398,-94.05998348,4.149225261,7.8,1.003458503,107.3,11,11140109,35,35,"Region_6",248,7480,656,39,7254,8.22,32.15,-0.23078431372549
"NLA12_AR-111","",34.60033557,-92.50069818,2.061803018,1.2,0.594248561,120,8,8040203,35,35,"Region_6",54.5,5260,744,121,3860,6.99,25.55,6.19849673202614
"NLA12_AZ-101","NLA06608-0834",33.5692971,-111.5241427,373.4884097,23.85,24.14730294,459,15,15060106,81,81,"Region_9",1166,3970,338,45.5,17949.5,8.47,21.9813461538462,0.513921568627451
"NLA12_AZ-102","NLA06608-0569",34.60431345,-112.4386225,119.179815,1.6,9.13022933,1567,15,15060202,23,23,"Region_9",554,16530,2045,631,9240,9.36,20.5423076923077,6.82503267973856
"NLA12_AZ-103","NLA06608-1641",35.02357175,-111.4006586,81.45252873,3.6,4.683705075,2168,15,15020015,23,23,"Region_9",239,7740,1055,259,17672,8.35,20.4921428571429,6.69300653594771
"NLA12_AZ-106","NLA06608-0877",33.40602291,-114.7138943,55.00641968,4.8,10.5125494,69.11,15,15030104,81,81,"Region_9",1246,7650,571,37,14821,8.25,31.1974358974359,7.02679738562091
"NLA12_AZ-107","NLA06608-0895",34.3606808,-109.363087,529.2331386,3.6,25.91177862,1822,15,15020001,22,22,"Region_9",477,6100,628,234,26588,8.59,22.424358974359,6.82124183006536
"NLA12_AZ-118","",33.38131121,-111.883581,8.007210087,2.4,2.713057747,365.97,15,15060106,81,81,"Region_9",1096,3420,483,38,19485,8.2,24.8,0.513921568627451
"NLA12_AZ-123","",33.0266436,-114.5090632,18.87422654,1.8,3.259236986,57.69,15,15030104,81,81,"Region_9",2570,34490,4094,392,45341,8.09,30.3705128205128,7.02679738562091
"NLA12_AZ-127","",35.28501346,-112.1541634,24.76589448,4.3,3.780921415,2072.07,15,15010004,23,23,"Region_9",118.3,6030,554,147,5556,7.88,15.2230769230769,6.7102614379085
"NLA12_AZ-130","NLA06608-4627",33.84530018,-111.6185016,622.6993198,16.95,48.18706487,533.25,15,15060203,81,81,"Region_9",581.5,2585,298.5,62,29352,8.495,21.3034823284823,0.513921568627451
"NLA12_AZ-140","",32.8056793,-109.8626777,5.897283111,4.1,1.093999706,1006.44,15,15040005,79,79,"Region_9",201,5310,571,38,7886,8.32,26.3115384615385,6.92941176470588
"NLA12_AZ-143","",35.11670652,-112.0134231,16.72327332,4,2.795297277,1997.64,15,15060202,23,23,"Region_9",76,11760,1201,75,6488,8.85,21.0025641025641,6.7102614379085
"NLA12_AZ-145","NLA06608-4744",33.8293043,-109.090421,48.4485317,3,5.384258583,2403.42,15,15040004,23,23,"Region_9",275,14020,1775,244,11535,9.51,20.0576923076923,6.62928104575163
"NLA12_AZ-157","",34.03125525,-109.4431103,17.28230542,1.6,1.614787909,2519.09,15,15020001,23,23,"Region_9",82.5,6410,3888,882,22958,9.44,19.7294871794872,6.82124183006536
"NLA12_AZ-R01","NLA06608-2217",34.42742317,-111.0867324,24.13835303,9.7,5.230721276,2220,15,15020008,23,23,"Region_9",19.54,4510,253,11,1161,7.03,18.2358974358974,6.71222222222222
"NLA12_CA-101","NLA06608-1781",38.07832575,-122.7433592,335.3416647,10.6,32.51425567,51.12,18,18050005,6,6,"Region_9",212.5,6615,473.5,30.65,1065,7.75,19.4875,7.08320261437909
"NLA12_CA-102","NLA06608-1397",33.23504244,-116.7444419,731.021414,2.2,20.2000769,818.28,18,18070303,8,8,"Region_9",690,8830,1390,23.9,49500,8.64,24.1125,7.14228758169935
"NLA12_CA-103","NLA06608-0201",39.11326334,-120.4389061,574.7253533,19.8,14.56207055,1592.46,18,18020128,5,5,"Region_9",27,1620,322,4.1,12900,7.5,17.7475,7.12692810457516
"NLA12_CA-104","NLA06608-0181",37.78873902,-119.0738863,118.8169149,29.9,4.627384423,2323.16,18,18090101,5,5,"Region_9",292,6820,435,4.9,483,7.76,15.296,7.2462091503268
"NLA12_CA-105","NLA06608-1269",38.50847142,-121.5353649,21.36925395,4.3,3.719279733,3.21,18,18020109,7,7,"Region_9",772,4390,551,688,18100,9.02,23.975,7.25954248366013
"NLA12_CA-106","NLA06608-0173",33.07900474,-115.512784,62.78533719,2.7,3.204951638,-53.27,18,18100200,81,81,"Region_9",2632,28100,3830,591,8480,9.49,25.2625,7.1037908496732
"NLA12_CA-107","NLA06608-0649",38.47629345,-119.9996916,70.01844691,8.3,5.032435184,2227.25,18,18040010,5,5,"Region_9",30,3070,149,10.2,935000,7.75,18.5375,7.27267973856209
"NLA12_CA-108","NLA06608-0693",37.14922318,-119.5111573,69.77191048,14,9.869399505,300.34,18,18040006,6,6,"Region_9",29,1490,156,4.8,7480,6.35,18.6178571428571,7.2462091503268
"NLA12_CA-111","",39.013583,-121.0410833,146.5493939,5.25,14.4411696,488.8,18,18020126,6,6,"Region_9",50,1640,74.1,5.65,8715,7.325,23.865,7.18241830065359
"NLA12_CA-112","",39.37366934,-121.2786137,21.60541441,6.3,3.383860377,425.25,18,18020125,6,6,"Region_9",124,1840,167,7.5,20200,8.03,25.75,7.18241830065359
"NLA12_CA-116","",41.22806098,-122.3816476,19.58614266,34.5,1.855488603,1658,18,18020005,78,78,"Region_9",40,1590,62.6,62.6,3920,7.7,6.70555555555556,6.89986928104575
"NLA12_CA-119","",37.95383641,-120.4968436,4470.73541,33,205.1316367,332.34,18,18040010,6,6,"Region_9",58,1920,114,4.1,10200,6.67,17.9592592592593,7.34993464052288
"NLA12_CA-121","",36.08284307,-118.9092314,1005.9283,14.3,42.22641737,199.55,18,18030006,6,6,"Region_9",200,4200,334,12.3,21400,8.07,20.1366666666667,7.14745098039216
"NLA12_CA-123","",38.76397086,-119.9656214,10.42702163,5.7,1.381916533,2445.3,16,16050201,5,5,"Region_9",27,2840,145,9.7,4250,6.4,19.4833333333333,7.27267973856209
"NLA12_CA-128","",39.72615676,-122.8416693,1.033384661,3.5,0.418172977,1811.55,18,18010104,78,78,"Region_9",156,4320,340,29.5,1540,6.95,18.5166666666667,7.21039215686274
"NLA12_CA-132","",40.50757762,-122.6943291,36.17217915,9.6,4.202623881,613.92,18,18020113,78,78,"Region_9",67,1480,137,11.6,22200,6.81,18.275,7.06751633986928
"NLA12_CA-135","",38.69849847,-120.0450767,245.7747884,16,9.830316262,2378.19,18,18020129,5,5,"Region_9",23,1530,78,5.6,5000,6.68,17.840625,7.16117647058824
"NLA12_CA-138","",40.51311798,-121.1651745,8.907100118,1.3,1.336509,1976.21,18,18080003,4,4,"Region_9",24,4990,333,10.5,6440,7.6,17.175,7.04522875816993
"NLA12_CA-141","",39.09599481,-122.9319835,1.613422335,3.7,0.551743677,455.8,18,18020116,6,6,"Region_9",205,8080,778,33.7,3650,7.6,21.3214285714286,7.21039215686274
"NLA12_CA-143","",37.56448938,-121.9971818,2.481529197,8.3,0.832914483,13.06,18,18050004,6,6,"Region_9",660,4410,339,26.8,6190,8.59,18.7375,7.30751633986928
"NLA12_CA-145","",37.24681552,-121.8722039,4.667632946,3.5,0.843198756,55.78,18,18050003,6,6,"Region_9",528,5590,428,33.6,13600,8.66,23.55,7.30751633986928
"NLA12_CA-154","",40.63158462,-120.00287,37.07423963,3,3.634373951,1329.45,16,16040203,80,80,"Region_9",226,2450,282,166,39900,8.34,20.77,7.1397385620915
"NLA12_CA-156","",34.49328953,-117.2618539,76.83942876,2.7,10.93337987,846.17,18,18090208,14,14,"Region_9",354,2760,443,53,11900,8.58,24.79,7.30464052287582
"NLA12_CA-157","",37.3732653,-120.4335059,168.429028,7.2,6.552443235,76.93,18,18040001,7,7,"Region_9",45,2000,69.8,4.1,7740,6.62,17.9785714285714,7.34993464052288
"NLA12_CA-166","",39.76106147,-120.7127085,12.60971255,6.7,1.465793782,1884.91,18,18020123,5,5,"Region_9",14,1930,162,4.1,3080,6.55,20.9928571428571,7.12692810457516
"NLA12_CA-167","",39.30959639,-120.578516,10.09473893,8.3,1.381695947,1797.3,18,18020128,5,5,"Region_9",31,3380,112,4.1,7670,7.14,17.375,7.12692810457516
"NLA12_CA-168","NLA06608-1653",33.8011914,-117.8101552,70.10301509,24.1,6.407347731,98.57,18,18070203,85,85,"Region_9",870,7670,2380,434,12600,9.66,19.5875,7.17019607843137
"NLA12_CA-172","",33.15989079,-117.0432688,25.61192863,12.8,3.075259305,314.7,18,18070303,85,85,"Region_9",680,28100,265,14.8,6860,8.44,20.5807692307692,7.17019607843137
"NLA12_CA-174","",37.91390879,-121.6012966,15.33535344,6,2.569955959,0,18,18040003,7,7,"Region_9",390,4130,731,77.7,12400,8,21.0666666666667,7.30751633986928
"NLA12_CA-180","",38.72817607,-121.131213,4477.606177,29.1,129.7812536,142.8,18,18020129,6,6,"Region_9",60,1690,127,4.1,9850,7.9,18.48,7.25954248366013
"NLA12_CA-181","",37.17995179,-121.6910013,14.37020861,5.8,1.511747383,95.36,18,18050003,6,6,"Region_9",455,4570,319,39.7,7750,7.38,20.8416666666667,7.30751633986928
"NLA12_CA-188","",37.77693239,-122.1186618,309.7251775,29,34.81754668,141.06,18,18050004,6,6,"Region_9",311,6670,593,25.6,10000,9.3,15.82,6.45562091503268
"NLA12_CA-190","",38.06047879,-121.0282226,48.14144143,2,4.823763495,42.15,18,18040004,6,7,"Region_9",132,12700,1320,123,7050,7.25,24.9,7.25954248366013
"NLA12_CA-200","",39.36848919,-120.322472,13.90867569,10.2,1.505085911,2314.27,16,16050102,5,5,"Region_9",16,1040,152,4.1,3050,6.02,14.775,7.12692810457516
"NLA12_CA-206","NLA06608-2950",40.76439588,-122.2541896,11052.35363,45,546.2851138,325.4,18,18020003,78,78,"Region_9",130,750,71.1,5.6,22500,8.25,18.6878787878788,7.06751633986928
"NLA12_CA-208","",41.99178315,-121.8782454,180.0083266,1.5,6.568672504,1246.23,18,18010204,9,9,"Region_9",2600,36100,2610,29.9,12600,9.36,22.3,6.99875816993464
"NLA12_CA-212","",39.96955481,-121.2222947,16.2944611,14.8,2.481676645,1865.21,18,18020121,5,5,"Region_9",18,4090,175,8.3,5100,6.23,11.1214285714286,7.18241830065359
"NLA12_CA-223","",37.60310878,-119.0030315,34.97828404,25.8,2.847763464,2732.75,18,18090102,5,5,"Region_9",57,1770,66.8,4.1,3240,7.9,10.8804347826087,7.2462091503268
"NLA12_CA-R01","NLA06608-0501",37.94905065,-122.6274594,99.66084063,16.3,13.75653829,198.57,18,18050005,1,1,"Region_9",158.6,2950,174,31,14013,8.16,13.8615384615385,6.45562091503268
"NLA12_CA-R02","NLA06608-0713",39.40604459,-120.0965946,385.8957227,11,21.29411408,1709.58,16,16050102,5,5,"Region_9",64,1770,140,40,20375,8.02,17.1120512820513,7.12692810457516
"NLA12_CA-R03","NLA06608-1717",37.66379232,-120.2158143,2267.070511,51,135.7417686,255.73,18,18040008,6,6,"Region_9",35.8,1560,121,16,5609,7.55,18.8089743589744,7.34993464052288
"NLA12_CO-101","NLA06608-0864",38.30009665,-102.7612671,303.645989,2,8.631690336,1181.28,11,11020009,26,26,"Region_8",11155,32810,3294.5,100,9103,8.46,22.549358974359,6.90450980392157
"NLA12_CO-102","NLA06608-0687",38.99724122,-108.0511795,14.98464518,14,1.620431695,3070.94,14,14020005,21,21,"Region_8",81.8,1620,135,29,18212,8.45,15.8390243902439,6.46013071895425
"NLA12_CO-103","NLA06608-1403",40.43632395,-105.0336532,611.5611803,5,17.08625846,1510.61,10,10190006,25,25,"Region_8",651,5070,331,17,2977,8.34,20.6975,6.03052287581699
"NLA12_CO-104","NLA06608-1339",40.22358076,-104.9472807,72.49623774,6.7,5.616831826,1487.14,10,10190005,25,25,"Region_8",3340,15090,6200,435,9303,8.53,18.9353658536585,6.52529411764706
"NLA12_CO-105","NLA06608-0004",37.4167824,-108.4056506,65.38610038,4.4,6.011170144,2213,14,14080202,21,21,"Region_8",246,9660,1079,114,7243,9.42,20.4275,6.76313725490196
"NLA12_CO-106","NLA06608-0635",40.33707955,-105.1266943,189.8164828,7.2,7.98199166,1562.41,10,10190006,25,25,"Region_8",159.2,3340,235,15,2609,8.15,24.19875,6.03052287581699
"NLA12_CO-107","NLA06608-0068",37.8246388,-107.885134,50.09886464,16.4,3.228831558,2959.6,14,14030003,21,21,"Region_8",215,730,104,16,6434,8.11,13.13875,-0.438300653594771
"NLA12_CO-108","NLA06608-0916",38.7911491,-105.1063606,10.22284808,4.9,1.557596057,3147,11,11020002,21,21,"Region_8",35.1,1410,71,25,11412,7.49,15.59625,6.23313725490196
"NLA12_CO-109","NLA06608-1483",40.05558648,-105.7470802,51.02796638,12.5,3.609063575,3029.04,14,14010001,21,21,"Region_8",30.4,4570,215,16,5140,7.55,14.85875,6.03052287581699
"NLA12_CO-110","NLA06608-0827",39.99496234,-105.112227,18.24577471,4,1.618216994,1620.93,10,10190005,25,25,"Region_8",628,6100,824,43,468,8.55,18.3076923076923,5.88267973856209
"NLA12_CO-111","NLA06608-1851",40.0798358,-105.2171741,217.4881284,6,6.681900771,1576.75,10,10190005,25,25,"Region_8",90.5,2890,140,26,5190,7.81,20.37625,6.03052287581699
"NLA12_CO-114","",39.03670301,-107.9111308,5.726832826,5.1,1.028831741,3105.21,14,14020005,21,21,"Region_8",53,5090,345,37,6200,7.84,18.3012195121951,6.32496732026144
"NLA12_CO-115","",40.00305447,-107.3583306,3.511584722,3.3,1.003755396,2994.12,14,14050005,21,21,"Region_8",22.2,2670,244,14,851,7.43,17.9775,6.46712418300654
"NLA12_CO-117","",37.31623199,-107.1129943,35.17102053,5,3.425642783,2348.41,14,14080102,21,21,"Region_8",201,4770,538,33,4239,9.21,22.0525,-0.438300653594771
"NLA12_CO-119","",40.25822853,-105.604528,6.135920724,30,0.98519388,3594.97,10,10190005,21,21,"Region_8",12.07,480,398,5,1465,6.71,7.58780487804878,6.03052287581699
"NLA12_CO-121","",37.67328141,-107.1127777,2.056298199,3.1,0.714034605,3530.52,13,13010001,21,21,"Region_8",41.5,2130,255,84,17528,7.85,16.86875,-0.438300653594771
"NLA12_CO-124","",39.93104164,-104.9732957,9.204629265,4.8,1.125955062,1600.49,10,10190003,25,25,"Region_8",1339,15370,1480,110,15656,9.59,22.653488372093,6.57941176470588
"NLA12_CO-125","",39.22067903,-106.3916958,1.638010034,6.5,0.49435329,2959.99,11,11020001,21,21,"Region_8",45.9,1290,61,11,5332,7.88,14.435,-0.413986928104575
"NLA12_CO-127","",40.12169493,-104.9459108,24.71587035,5.3,1.961036202,1509.83,10,10190005,25,25,"Region_8",424,8090,936,712,19950,9.53,21.78,6.52529411764706
"NLA12_CO-129","",37.28488371,-104.3381595,2.905501949,2.1,1.05535296,1720.86,11,11020010,26,26,"Region_8",3580,5870,744,45,24594,7.43,23.5576923076923,6.66549019607843
"NLA12_CO-130","",39.64574357,-106.1674308,3.837669916,5.8,0.948242326,3435.34,14,14010002,21,21,"Region_8",41.7,780,185,9,2436,7.76,11.65125,-0.413986928104575
"NLA12_CO-131","",40.94491896,-106.0119684,17.39618854,7.6,1.656716521,2410.41,10,10180010,18,18,"Region_8",325.5,5375,417,47.5,10339.5,8.39,17.36125,6.15450980392157
"NLA12_CO-133","",37.54114004,-107.5965489,15.67964295,2.4,2.123484174,3329.18,14,14080104,21,21,"Region_8",30.6,1700,90,14,1528,7.3,13.925,-0.438300653594771
"NLA12_CO-R01","NLA06608-0079",39.9856728,-107.231024,130.9079857,47.8,6.588211364,2934,14,14050005,21,21,"Region_8",90.4,1840,116,36,14576,8.32,8.77051282051282,6.32496732026144
"NLA12_CO-R04","NLA06608-0715",40.2166095,-105.3725581,79.39618467,46,7.76769975,1951.04,10,10190005,21,21,"Region_8",25.5,2090,118,20,5581,7.52,19.0576923076923,6.03052287581699
"NLA12_CT-101","NLA06608-1414",41.92395129,-72.21958455,19.46022047,2.2,2.78873884,205.1,1,1100002,59,59,"Region_1",116,4875,350,28,8186,7.555,23.3205128205128,5.46137254901961
"NLA12_CT-102","NLA06608-0134",41.8811168,-73.03985488,99.98450318,19.3,5.007664543,285.96,1,1080207,58,58,"Region_1",57.2,2110,176,7,254,7.23,14.4730769230769,5.36084967320261
"NLA12_CT-103","NLA06608-0006",41.67757315,-73.14469782,56.19967245,23.6,5.83700507,198.75,1,1100005,59,59,"Region_1",110.8,2530,205,19,5061,7.6,14.1294871794872,5.36084967320261
"NLA12_CT-104","NLA06608-0498",41.95084399,-71.9511164,36.73243131,5.7,2.872676209,86.77,1,1100001,59,59,"Region_1",121.4,4330,825,48,10556,7.94,19.9076923076923,5.62418300653595
"NLA12_CT-105","NLA06608-0805",41.89704559,-73.44712926,10.59169184,6.3,1.700230293,258.17,1,1100005,58,58,"Region_1",253,3850,763,69,10674,8.27,22,5.36084967320261
"NLA12_CT-107","",41.3389906,-72.48613163,32.98197277,4.5,3.619282802,52.68,1,1080205,59,59,"Region_1",61.9,4360,244,18,3712,7.33,25.474358974359,5.46137254901961
"NLA12_CT-108","",41.65348504,-73.20748141,38.90985797,2.5,5.195863809,271.75,1,1100005,59,59,"Region_1",114.2,3500,311,28,4058,7.57,26.1474358974359,5.36084967320261
"NLA12_CT-115","",41.71185606,-72.32903222,111.7119893,6.7,6.22343281,151.74,1,1100002,59,59,"Region_1",73.9,2665,261.5,12,1081,7.405,22.6320512820513,5.46137254901961
"NLA12_CT-118","",41.77454096,-71.88798099,25.5197079,9.2,2.802215969,59.75,1,1100001,59,59,"Region_1",137.5,2600,255,5,621,7.72,21.3371794871795,5.62418300653595
"NLA12_CT-126","",41.84051817,-72.10979305,33.91858309,3.9,3.128288958,156.76,1,1100002,59,59,"Region_1",49.4,3060,278,15,972,7.96,25.5512820512821,5.46137254901961
"NLA12_DE-101","NLA06608-0141",39.42401394,-75.68735124,65.4747537,1.7,9.836266815,0,2,2040205,63,63,"Region_3",198.75,3560,1217.5,132,12142.5,8.28,25.5897435897436,5.66653594771242
"NLA12_DE-102","NLA06608-1741",38.98857897,-75.52117937,23.04867436,1.3,4.427945077,1.89,2,2040207,63,63,"Region_3",177.9,5500,1495,227,17644,8.29,25.0525641025641,5.90673202614379
"NLA12_DE-103","NLA06608-2333",38.64269726,-75.55096879,27.27602749,1.7,3.812613879,1.55,2,2060008,63,63,"Region_3",78,2950,923,81,18285,7.34,27.125641025641,5.90673202614379
"NLA12_DE-104","NLA06608-0285",38.55949766,-75.56233222,34.45884719,1.9,4.701420891,1.55,2,2060008,63,63,"Region_3",154,3980,2730,182,22778,7.47,23.3205128205128,5.90673202614379
"NLA12_DE-105","",38.55992891,-75.62927498,7.112233821,2.3,2.472700104,1.96,2,2060008,63,63,"Region_3",163.15,2150,7141,22,7357.5,7.965,24.1141025641026,5.90673202614379
"NLA12_DE-107","",38.86695206,-75.38016332,14.22160773,1.4,2.595431863,2.15,2,2040207,63,63,"Region_3",132.2,3520,723,30,6772,7.94,22.4461538461538,5.90673202614379
"NLA12_DE-121","NLA06608-4760",38.51997073,-75.51111717,23.80019663,1.5,3.015942761,7.95,2,2060008,63,63,"Region_3",137.4,2580,2185,191,24872,6.9,21.1897435897436,5.90673202614379
"NLA12_FL-101","NLA06608-3169",26.96218896,-80.86112023,167489.6089,4.05,310.4465382,4.52,3,3090201,76,76,"Region_4",535.5,13110,1134,127,11310.5,8.27,27.9367307692308,-1.11294117647059
"NLA12_FL-102","NLA06608-2593",28.09204922,-81.70722184,289.8131363,3.85,7.515939541,38.73,3,3100101,75,75,"Region_4",294,14570,1491,43.5,2668.5,8.725,28.8849358974359,-1.1102614379085
"NLA12_FL-103","NLA06608-2117",28.62012601,-81.62390666,12408.32607,1.2,58.45170408,19.85,3,3080102,75,75,"Region_4",415,21610,4763,132,2477,9.17,30.2025641025641,-1.1102614379085
"NLA12_FL-104","NLA06608-1349",28.63214149,-81.35520745,39.15276905,6.7,2.487065753,19.8,3,3080101,75,75,"Region_4",223,6030,820,25,541,8.78,24.8410256410256,-1.1102614379085
"NLA12_FL-105","NLA06608-1733",28.89574438,-81.83982976,6348.877989,3.5,138.9839575,17.7,3,3080102,75,75,"Region_4",388,18680,2853,81,14661,8.68,29.5858974358974,-1.1102614379085
"NLA12_FL-106","NLA06608-0069",28.63737421,-81.13770674,24.47050394,2.8,2.39891519,11.26,3,3080101,75,75,"Region_4",173.1,13020,519,46,1952,6.77,26.7846153846154,-1.1102614379085
"NLA12_FL-107","NLA06608-2657",28.17018584,-81.83447199,30.03492592,6.1,2.766653049,42.88,3,3100208,75,75,"Region_4",465,5860,546,9,134,7.08,27.0012820512821,-1.1102614379085
"NLA12_FL-108","NLA06608-2074",30.43458497,-84.56553879,3360.424755,5.5,133.2590695,20.82,3,3120003,75,75,"Region_4",95.3,8430,854,70,5012,7.63,29.7461538461538,-1.04856209150327
"NLA12_FL-109","NLA06608-2629",28.8388165,-81.26992474,3565.564552,2.4,34.0907925,0.3,3,3080101,75,75,"Region_4",1206,20730,1421,77,7709,7.92,30.0833333333333,-1.1102614379085
"NLA12_FL-110","",27.84218818,-81.50927927,1.870654899,2.7,0.531168411,29.37,3,3090101,75,75,"Region_4",47.45,3980,469.5,22,1233.5,6.2,29.5551282051282,-0.998758169934641
"NLA12_FL-114","",28.62073805,-81.38955715,6.37106718,6.6,0.907130776,24.72,3,3080101,75,75,"Region_4",156.2,7870,761,20,26,8.5,25.625641025641,-1.1102614379085
"NLA12_FL-123","",27.20734613,-81.35075299,34.53119775,14.9,2.239099294,33.47,3,3090103,75,75,"Region_4",41.05,5205,234,7,1733,5.845,NA,-0.998758169934641
"NLA12_FL-126","",28.02489816,-81.41000805,2674.826553,2.4,41.65787343,15.52,3,3090101,75,75,"Region_4",187.4,14160,1279,50,2932,8.03,30.3410256410256,-1.1102614379085
"NLA12_FL-130","",28.56416506,-81.77977349,21.50698766,2,2.710336738,28.99,3,3080102,75,75,"Region_4",147.7,11550,874,58,1336,6.45,30.6897435897436,-1.1102614379085
"NLA12_FL-132","",26.42221393,-81.49292185,605.4412435,1.1,9.60041014,5.41,3,3090204,75,75,"Region_4",448,29970,2820,83,6118,8.8,31.3,-1.11535947712418
"NLA12_FL-141","",30.51614943,-85.70778846,32.73195533,1.1,3.489682325,23.09,3,3140203,65,65,"Region_4",21.8,1580,321,27,851,5.38,31.1474358974359,5.59241830065359
"NLA12_GA-101","NLA06608-0530",31.05990761,-81.41324075,9.741400804,2.65,2.077285065,0.71,3,3070203,75,75,"Region_4",37980,16940,1368,160.5,1947,7.755,28.0914743589744,-0.869346405228758
"NLA12_GA-102","NLA06608-1469",33.29924834,-81.8952677,5.011122915,1.2,2.164180876,31.76,3,3060106,65,65,"Region_4",79.2,5670,425,157,2354,6.44,28.4487179487179,-0.700392156862745
"NLA12_GA-103","NLA06608-0815",32.0700182,-84.29710667,32.2687803,3.8,4.836577368,110.89,3,3130007,65,65,"Region_4",37.4,3240,330,37,10475,6.9,26.474358974359,5.94130718954248
"NLA12_GA-104","NLA06608-0591",34.13780782,-84.64845153,3511.416103,13,254.5063158,256.03,3,3150104,45,45,"Region_4",60,2140,221,15,7350,7.58,26.9219230769231,5.85450980392157
"NLA12_GA-105","NLA06608-0943",34.7978933,-84.25515016,1341.256047,20.8,100.3476446,515.11,6,6020003,66,66,"Region_4",18.37,940,73,19,7859,7.19,22.2289743589744,5.85450980392157
"NLA12_GA-107","",32.63881298,-83.96692927,2.44459094,3.3,0.710991927,130.95,3,3130005,65,65,"Region_4",25.2,3800,1674,76,4396,9.1,26.6229487179487,-0.593202614379085
"NLA12_GA-111","",32.18276667,-83.17085941,6.715845621,3.4,1.123799699,101.79,3,3070105,65,65,"Region_4",41.5,5480,626,46,4309,7.26,29.3023076923077,-0.593202614379085
"NLA12_GA-112","",33.37323584,-84.28588958,5.080895318,4.8,1.272060161,248.22,3,3070103,45,45,"Region_4",47.35,3330,330.5,35.5,8518,7.43,25.3696153846154,-0.666601307189543
"NLA12_GA-114","",32.38244403,-81.92934836,8.004731299,3,1.426661972,62.26,3,3060203,65,65,"Region_4",91.1,8180,629,39,4543,6.97,26.8666666666667,-0.842875816993464
"NLA12_GA-118","",34.54604983,-84.36246964,18.06463261,9.7,2.856877941,844.06,3,3150102,66,66,"Region_4",26.3,1020,119,14,5792,7.2,19.5919230769231,5.85450980392157
"NLA12_GA-127","",32.09647199,-82.90033962,138.376504,2.2,8.037342511,48.23,3,3070105,65,65,"Region_4",75.5,18300,1145,36,280,7.02,29.9258974358974,-0.743464052287582
"NLA12_IA-101","NLA06608-1015",43.15573772,-94.65034846,362.6214389,6.9,23.45125229,372.61,7,7100002,47,47,"Region_7",390.5,6820,2190,176,21333,8.105,24.2653846153846,5.9356862745098
