"SITEID_12","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol"
"NLA12_UT-109","NLA06608-2655",40.72381895,-109.183908,43.28528102,3,4.283174029,2184,14,14040106,20,20,"Region_8",188,16330,1855,96,7211,9.72,15.1961538461538,0.0447058823529412
"NLA12_UT-110","",40.87400683,-109.1380738,14.37453838,3.2,1.42152145,1651.38,14,14040106,18,18,"Region_8",579.5,5000,423,25,1766.5,8.34,16.9244230769231,0.0447058823529412
"NLA12_UT-112","",40.51101829,-111.5858985,2.616152577,1.7,0.62537375,2593.65,16,16020201,19,19,"Region_8",132,4030,606,60,744,8.81,17.6525641025641,6.54967320261438
"NLA12_UT-118","",40.8207594,-110.3898186,7.743790771,6.3,1.353313353,3298.86,14,14040106,19,19,"Region_8",14.94,1660,199,23,1617,7.26,14.0717948717949,6.38176470588235
"NLA12_UT-122","",40.83133152,-110.0193773,11.21402929,17,1.487152833,3169.23,14,14040106,19,19,"Region_8",18.08,2070,159,10,188,7.25,8.00384615384615,6.38176470588235
"NLA12_UT-125","",39.1695073,-111.4507206,18.84328611,6.3,1.78256599,2837.65,14,14060009,19,19,"Region_8",373,2820,208,20,4946,8.92,16.4291025641026,6.52692810457516
"NLA12_UT-126","",41.92315669,-111.6571345,4.490195176,3.8,0.868604518,2554.03,16,16010203,19,19,"Region_8",191.6,1830,281,12,1237,8.89,16.9487179487179,6.72751633986928
"NLA12_UT-128","",40.63982287,-112.3104436,35.74371595,1.5,10.20748157,1299.81,16,16020304,13,13,"Region_8",4200,8250,1258,72,1885,8.55,19.5051282051282,6.61281045751634
"NLA12_UT-137","",37.82193983,-112.7212944,18.03351,2.4,2.494338718,2569.05,16,16030006,19,19,"Region_8",191.4,8530,1253,147,12112,8.35,18.9858974358974,6.64862745098039
"NLA12_UT-141","",38.8475374,-111.9613903,93.17451518,2.7,9.196263104,1589.51,16,16030003,13,13,"Region_8",1112,3700,1339,193,30088,8.4,20.379358974359,6.55705882352941
"NLA12_UT-147","",40.68036901,-111.097613,2.412260828,1.7,0.660226794,3032.18,16,16020101,19,19,"Region_8",15.8,6200,431,14,120,6.85,17.8235897435897,6.54967320261438
"NLA12_UT-148","",41.80681225,-111.8970124,41.73267884,1.1,3.889284479,1345.23,16,16010202,13,13,"Region_8",592,6990,2023,265,20940,8.6,25.2162820512821,6.72751633986928
"NLA12_UT-159","",40.70452574,-110.9631214,2.690051335,3.3,0.661070161,3180.6,16,16020101,19,19,"Region_8",9.99,2820,220,11,617,6.76,15.9435897435897,6.38176470588235
"NLA12_UT-160","",41.70168986,-113.9596706,10.34861387,6.4,1.510516161,1622.63,16,16020308,80,80,"Region_8",381,2260,225,30,13600,8.64,17.7461538461538,6.26228758169935
